name_muni_uf_from,name_muni_uf_to,sg_iata_origem,sg_iata_destino,date,year,month,day,total_pass,dist_pair,n_flights,lon_from,lat_from,lon_to,lat_to
porto alegre-rs,rio de janeiro-rj,POA,GIG,2020-03-05,2020,3,5,430,1123.91741429693,4,-51.2286604637023,-30.0300367747664,-43.2278751249952,-22.8766521181865
rio de janeiro-rj,curitiba-pr,GIG,CWB,2020-03-05,2020,3,5,154,676.245181192978,2,-43.2278751249952,-22.8766521181865,-49.2718478850774,-25.432956
florianopolis-sc,rio de janeiro-rj,FLN,GIG,2020-03-05,2020,3,5,213,747.911071843207,2,-48.5476373781933,-27.58779554855,-43.2278751249952,-22.8766521181865
rio de janeiro-rj,florianopolis-sc,GIG,FLN,2020-03-05,2020,3,5,176,747.911071843207,1,-43.2278751249952,-22.8766521181865,-48.5476373781933,-27.58779554855
rio de janeiro-rj,bayeux-pb,GIG,JPA,2020-03-06,2020,3,6,174,1955.92008752251,1,-43.2278751249952,-22.8766521181865,-34.9291858200857,-7.132276485
confins-mg,rio de janeiro-rj,CNF,GIG,2020-03-05,2020,3,5,281,368.199406189062,3,-43.9955960875638,-19.6299482494053,-43.2278751249952,-22.8766521181865
rio de janeiro-rj,sao paulo-sp,GIG,CGH,2020-03-06,2020,3,6,512,350.556818135554,5,-43.2278751249952,-22.8766521181865,-46.5703831821127,-23.5673865
sao paulo-sp,rio de janeiro-rj,CGH,GIG,2020-03-06,2020,3,6,640,350.556818135554,5,-46.5703831821127,-23.5673865,-43.2278751249952,-22.8766521181865
sao paulo-sp,maringa-pr,CGH,MGF,2020-03-06,2020,3,6,447,548.670790495924,3,-46.5703831821127,-23.5673865,-51.9398818702521,-23.42228
guarulhos-sp,joinville-sc,GRU,JOI,2020-03-06,2020,3,6,423,391.845171575353,3,-46.5310840856611,-23.468506,-48.849409143238,-26.3045176486541
guarulhos-sp,chapeco-sc,GRU,XAP,2020-03-06,2020,3,6,462,733.392073068895,5,-46.5310840856611,-23.468506,-52.6170311134138,-27.1068370215332
recife-pe,sao paulo-sp,REC,CGH,2020-03-06,2020,3,6,561,2120.80240335024,5,-34.8889419445777,-8.06276248305241,-46.5703831821127,-23.5673865
sao paulo-sp,recife-pe,CGH,REC,2020-03-07,2020,3,7,698,2120.80240335024,5,-46.5703831821127,-23.5673865,-34.8889419445777,-8.06276248305241
juazeiro do norte-ce,guarulhos-sp,JDO,GRU,2020-03-06,2020,3,6,243,1957.46929839078,2,-39.3169933556143,-7.210766,-46.5310840856611,-23.468506
guarulhos-sp,juazeiro do norte-ce,GRU,JDO,2020-03-07,2020,3,7,416,1957.46929839078,3,-46.5310840856611,-23.468506,-39.3169933556143,-7.210766
recife-pe,fernando de noronha-pe,REC,FEN,2020-03-06,2020,3,6,534,539.083116230771,5,-34.8889419445777,-8.06276248305241,-32.4351863280529,-3.85202140078181
recife-pe,rio de janeiro-rj,REC,GIG,2020-03-06,2020,3,6,972,1866.13643566427,9,-34.8889419445777,-8.06276248305241,-43.2278751249952,-22.8766521181865
manaus-am,porto velho-ro,MAO,PVH,2020-03-06,2020,3,6,277,752.23294540842,3,-60.023335181061,-3.13469149120195,-63.8314456543611,-8.76889179
rio de janeiro-rj,campinas-sp,GIG,VCP,2020-03-06,2020,3,6,277,393.210656059303,5,-43.2278751249952,-22.8766521181865,-47.0601562729731,-22.9073425
salvador-ba,rio de janeiro-rj,SSA,GIG,2020-03-06,2020,3,6,644,1201.14149264141,6,-38.4880614840078,-13.0147719115328,-43.2278751249952,-22.8766521181865
rio de janeiro-rj,recife-pe,GIG,REC,2020-03-07,2020,3,7,828,1866.13643566427,6,-43.2278751249952,-22.8766521181865,-34.8889419445777,-8.06276248305241
rio de janeiro-rj,porto alegre-rs,GIG,POA,2020-03-06,2020,3,6,812,1123.91741429693,5,-43.2278751249952,-22.8766521181865,-51.2286604637023,-30.0300367747664
porto alegre-rs,rio de janeiro-rj,POA,GIG,2020-03-06,2020,3,6,593,1123.91741429693,5,-51.2286604637023,-30.0300367747664,-43.2278751249952,-22.8766521181865
rio de janeiro-rj,curitiba-pr,GIG,CWB,2020-03-06,2020,3,6,206,676.245181192978,2,-43.2278751249952,-22.8766521181865,-49.2718478850774,-25.432956
rio de janeiro-rj,florianopolis-sc,GIG,FLN,2020-03-06,2020,3,6,532,747.911071843207,3,-43.2278751249952,-22.8766521181865,-48.5476373781933,-27.58779554855
florianopolis-sc,rio de janeiro-rj,FLN,GIG,2020-03-06,2020,3,6,299,747.911071843207,2,-48.5476373781933,-27.58779554855,-43.2278751249952,-22.8766521181865
rio de janeiro-rj,bayeux-pb,GIG,JPA,2020-03-07,2020,3,7,359,1955.92008752251,2,-43.2278751249952,-22.8766521181865,-34.9291858200857,-7.132276485
rio de janeiro-rj,confins-mg,GIG,CNF,2020-03-06,2020,3,6,267,368.199406189062,3,-43.2278751249952,-22.8766521181865,-43.9955960875638,-19.6299482494053
confins-mg,rio de janeiro-rj,CNF,GIG,2020-03-06,2020,3,6,212,368.199406189062,2,-43.9955960875638,-19.6299482494053,-43.2278751249952,-22.8766521181865
rio de janeiro-rj,sao paulo-sp,GIG,CGH,2020-03-07,2020,3,7,223,350.556818135554,4,-43.2278751249952,-22.8766521181865,-46.5703831821127,-23.5673865
sao paulo-sp,rio de janeiro-rj,CGH,GIG,2020-03-07,2020,3,7,510,350.556818135554,6,-46.5703831821127,-23.5673865,-43.2278751249952,-22.8766521181865
sao paulo-sp,maringa-pr,CGH,MGF,2020-03-07,2020,3,7,275,548.670790495924,2,-46.5703831821127,-23.5673865,-51.9398818702521,-23.42228
guarulhos-sp,joinville-sc,GRU,JOI,2020-03-07,2020,3,7,241,391.845171575353,2,-46.5310840856611,-23.468506,-48.849409143238,-26.3045176486541
guarulhos-sp,chapeco-sc,GRU,XAP,2020-03-07,2020,3,7,230,733.392073068895,3,-46.5310840856611,-23.468506,-52.6170311134138,-27.1068370215332
recife-pe,sao paulo-sp,REC,CGH,2020-03-07,2020,3,7,339,2120.80240335024,4,-34.8889419445777,-8.06276248305241,-46.5703831821127,-23.5673865
juazeiro do norte-ce,guarulhos-sp,JDO,GRU,2020-03-07,2020,3,7,407,1957.46929839078,3,-39.3169933556143,-7.210766,-46.5310840856611,-23.468506
guarulhos-sp,juazeiro do norte-ce,GRU,JDO,2020-03-08,2020,3,8,395,1957.46929839078,3,-46.5310840856611,-23.468506,-39.3169933556143,-7.210766
brasilia-df,varzea grande-mt,BSB,CGB,2020-03-07,2020,3,7,188,885.022413290481,2,-47.8879054780313,-15.794087361891,-56.1446637401866,-15.6580648240885
brasilia-df,sena madureira-ac,BSB,RBR,2020-03-08,2020,3,8,139,2375.59218074966,1,-47.8879054780313,-15.794087361891,-68.655684061692,-9.065339505
belem-pa,santarem-pa,BEL,STM,2020-03-07,2020,3,7,325,701.5533575521,3,-48.4878256874876,-1.459845,-54.7185701672711,-2.43621332999996
santarem-pa,belem-pa,STM,BEL,2020-03-07,2020,3,7,280,701.5533575521,4,-54.7185701672711,-2.43621332999996,-48.4878256874876,-1.459845
recife-pe,fernando de noronha-pe,REC,FEN,2020-03-07,2020,3,7,430,539.083116230771,4,-34.8889419445777,-8.06276248305241,-32.4351863280529,-3.85202140078181
